tweet,soft_labels_task1,soft_labels_task2,soft_labels_task3
"@NyanNyanners bees in car at mcdonald. we were at mcdonald after buying a beehive, and someone behind us told us ""excuse me you have bees in your car"". thats because we had bees in the car😂https://t.co/AgOic6KGE8 https://t.co/MxbwyqWTBP","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@samuelanjorin__ Haha, this thing, so far it's a woman driving, you find that your anger just assuages, you mentally excuse her for the rubbish driving...","[0.0, 1.0]","[0.0, 0.5, 0.3333333333333333, 0.16666666666666666]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 1.0]"
"@MariaBartiromo San Francisco mayor is a black woman, the fun police and Democrat so doesn't need a mask say like the average dumb white woman driving a truck, is that it?","[0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.16666666666666666, 0.5, 0.16666666666666666, 0.0, 0.8333333333333334]"
"@garybryanshow I'm in a ride share van, I look down and see a woman driving and hiking up her panty hose. She almost hit the median.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.3333333333333333, 0.0, 0.5]"
Men’s neck turn 180 degree like a fucking owl when they see a woman driving a car,"[0.0, 1.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666]","[0.0, 0.5, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334]"
"#Netflix movie of the day: Organize Isler (2005, IMDb 7.4)A gang leader recruits a suicidal Superman impersonator, while a woman driving a hot car linked t...Link: https://t.co/fcBRdj16UM#WhatToWatch #NetflixAustralia #NetflixAus #movies","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0]"
@jasminelyonna All white. It looked like a younger woman driving,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]","[0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666]"
"For goodness sake, Ottawa drivers. You have to STOP if there is a pedestrian or cyclist on a crosswalk. There’s a woman driving a black BMW X5 who is lucky she isn’t in jail on charges of vehicular homicide #almostsquishedagain @OttawaPolice","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.5]"
@CheriJacobus Cop issues fetus a ticket for driving without a license (refuses to acknowledge woman driving as he’s trained to see her as a subhuman “host body”).,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5]","[0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.6666666666666666, 0.0, 0.6666666666666666]"
"CHILENO VALLEY: At 6:25 a.m., a business owner overheard a peacock discussing a middle-aged woman driving recklessly in the toilet at the community center. A deputy later arrested a man wearing a surgical mask.","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.0, 0.0, 0.16666666666666666, 0.0, 0.3333333333333333]"
@jamballam woman driving a taxi brings a man to the wrong place and when he says it’s not thr station she’s like I know 😏 this is my apartment 🥵,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
@harrysfIorist HELP SKXNXN I WAS GONNA SAY LIKE IS THE WOMAN A MACHINE WTF,"[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.0, 0.0, 0.3333333333333333, 0.0, 0.16666666666666666]"
@BrianKempGA @POTUS Are you Pro Choice about a woman's right to choose also?,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0]"
@VootSelect “The most dangerous woman of all is the one who refuses to rely on your sword to save her because she carries her own” – R. H. Sin...SHERNI TEJASSWI PRAKASH...75#TejasswiIsTheBoss #TejasswiPrakash @justvoot @OrmaxMedia,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333]"
"If a woman ever says ""everything is fine"", it isn't.I have learned this from experience, if something is ""not fine"", they just want you to be a psychic and work out what it is, sometimes, if you're lucky, you'll get a clue, otherwise you're in the doghouse until you work it out.","[0.0, 1.0]","[0.0, 0.6666666666666666, 0.3333333333333333, 0.0]","[0.0, 0.5, 0.16666666666666666, 0.3333333333333333, 0.0, 0.6666666666666666]"
Put That Woman First https://t.co/rZ6CvHDFOw via @YouTube https://t.co/vv6dWbDGzR,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.0, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
"Men, yelling at a woman to stop looking so mad isn’t going to make a woman want to converse.  EVER. Just stop it.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.16666666666666666, 0.3333333333333333]"
"@ultramonkeytron @socavalier @Jason1Goff The bag policy most definitely set one woman off at Miller Park, who walked back shouting to everyone along the way about it 😆 (she must have been in a farrrrr lot)","[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.0, 0.16666666666666666, 0.0, 0.0, 0.5]"
"@80sThen80sNow Lol yes and I remember an episode of Night Court where Dan was turned back into a kid and asked a woman if she wanted to play with his *Lincoln log"" to funny! 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5]","[0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.5, 0.3333333333333333]"
"He smiled as he began walking into the bar before sitting on the chair and looked at the woman.“Oh, by the way! My name Goku, it’s nice to meet you!” https://t.co/iVxoxsr6Vh","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0]"
Vlog uploaded! 5 reasons why an Igorot woman is such a LGBT icon.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]"
kiko prettiest woman alive https://t.co/AlpR2NJiX3,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0]"
"@drnovocalcords @ScotsAHF @Wifty8 @TouchMyTeapot @reallorraine No you're misunderstanding me, sorry it was poorly wordedWe can go on using the word woman, and i hope people do. Of course. I'm just saying for medical uses you could in theory come up with a new word. Although I'm not sure I agree with that anymore having discussed w others","[0.5, 0.5]","[0.5, 0.3333333333333333, 0.0, 0.16666666666666666]","[0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.3333333333333333]"
"@Fightful I definitely agree that there needs to be more black representation in AEW, especially in the winners’ circles. Hiring Ember Moon for the women’s division would be a great start. Also, we do need that second woman’s match on Dynamite and the PPVs. ⬇️","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
“All those are girls are fucking idiots for not taking you.”This woman is fucking amazing.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666]"
"@CYNDI_ROSE__ @Lancegooden You’re a very HANDSOME woman. Ya know, since we’re circling things in screenshots🤷🏾‍♂️ https://t.co/nb2FZXfbG8","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.5, 0.0, 0.0]"
"@__prii02 Well, only once this year I've said ""spill the tea, bitch"" and got a big laugh even though that's definitely a woman/gay thing to say 😆","[0.0, 1.0]","[0.0, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.6666666666666666]"
"@brew1970 Who determines if a woman’s miscarriage was natural or self induced? If abortion is illegal, that opens the door for ANY loss of pregnancy to be investigated.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]"
saw the new james bond today and every woman was sexy,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.5, 0.3333333333333333, 0.0]","[0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 0.16666666666666666, 0.0]"
50-year-old woman gives birth to first child: ‘We wouldn’t give up’ https://t.co/l5BXuHKpK9 #SmartNews,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
@jerdreams Is that a MAN in a woman’s business??? https://t.co/rC5F4pCR2A,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333]"
@BarakaBeau Same In Search of Our Mother’s Gardens changed my life. Black Feminism high key went out the window and Womanism came in HOT,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@seekyoolz @Racheida_Lewis @nelsonlflores That’s where I would disagree. Blackness is not defined by these surface cultural indicators - that would be a reduction of Black identity to nothing. Black identity, Black nationalism, Black feminism, womanism and others would be ideologies as well.","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"#TBFF22 | SPOKEN WORD JAM • Fefe The Poet2021 Haitian Poet of the Year, Fefe's surrealist poems explore themes like Black identity, Womanism, Politics, mental health, love, heartbreak... and more.FREE | Facebook | Feb 19 • 7pm https://t.co/W8JKFv7vOB","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@QuenCarm @_bbytumz Because the socio-political equality of womanism that you’re referreing to isn’t equivalent to the situation? This is an ass twistin a narrative of “women are “bitches” so ill be one?” Equality of the sexes doesn’t mean anybody wants men to act like a whiny dick.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.5]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
'Wild Imperfections' moves womanism forward - https://t.co/UV46D4mM7i https://t.co/GZRBc1Eui9 https://t.co/daG36qHmhp,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
The preservation of feminism over womanism is intriguing... 🤔 Particularly when it comes to blackness.,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.0, 0.3333333333333333, 0.5]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]"
NEW Titles are dropping. Have you ordered the 25th Anniversary Edition of Katie’s Canon: Womanism and the Soul of the Black Community? Order your copy today! #womanistwisdom #womanistsyllabus https://t.co/DbTisIMuDm,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
NC needs another visit with Congressperson Pressley. The SisterScene would love celebrate the mother-daughter creativity and imagination. #ForwardTogether #womanism #multiculturalism#Blackgirlpower https://t.co/8nFhURc0o8,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.0]"
"On Wednesday, December 22, 2021, 03:59:30 PM EST, Casey Johnson &lt;casiajonna3874@yahoo.com&gt; wrote:PPS.  I do have to add right quick that the Black feminism and Africana Womanism movements trace back before the white feminist agenda (feminist traditions EQUATing to men having","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"@Aayasha73444284 I have tone of respects for women around the world. I didn't disrespect or taunt you. But people like you always try to take advantage of being an woman and judge every comment or criticism frm a single ghisipiti ""womanism"" angle. You should have researched before passing comment","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
9-23-21 | The Anti-Blackness and Anti-Womanism of The Police | DeSantis Death Cult | False Profitshttps://t.co/cU9dwe3ggB via @BenjaminPDixon,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.0, 0.6666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.5, 0.0, 0.16666666666666666, 0.16666666666666666]"
I wonder if BM intellectuals who claim white women influenced black women as it relates to feminism or womanism are spewing a form of white supremacy.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]"
I Will Raise Up My Voice.https://t.co/Ltpc2mbRhE.#womanstyle  #womanfashion #womans #womancrush #womansfashion #womanswear #womanslook #womanshoes #womanwear #Womanism #womansRights #womancrusheveryday #Womanist #womansbestfriend #womanboss https://t.co/RXKC3931RV,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
there are still places where you can't talk about womanism with Black and white women without feeling like a fugitive and people looking at you like they're terrified.,"[0.5, 0.5]","[0.5, 0.0, 0.5, 0.0]","[0.5, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
"@nuriackermann @pairolleth mainstream feminism never has and never will benefit black women. google womanism if you’re ACTUALLY trying to learn, its not my job or any black woman to educate your ignorant ass","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.5]"
Fully following the tenants of Womanism would have made the K'iche' Kingdom of Q'umarkaj duller.,"[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
"Like if there’s one image that defines my womanism - girlism -it’s this one! I remember walking on Flatbush in the 90s and seeing this poster and being so transfixed by it I had to stop and stare at her gaze, it is so full of power and eroticism. lil Kim really broke ground https://t.co/rOJOvXFdbR","[0.5, 0.5]","[0.5, 0.3333333333333333, 0.0, 0.16666666666666666]","[0.5, 0.16666666666666666, 0.0, 0.3333333333333333, 0.0, 0.16666666666666666]"
"@MonicaExplains @tempever @buttsex53 @CaroleVivienne @VAGlNApolice @AmericanRudefem @unreticulated @NeverBetty Just in, MLK Jr. was one of the best in-fighters of his time. Though I prefer the in-fighter Malcom X one cannot ignore the contributions of in-fighter Audre Lorde. Womanism is basically no different from MRAs darn in-fighters.","[0.5, 0.5]","[0.5, 0.16666666666666666, 0.0, 0.3333333333333333]","[0.5, 0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
"Womanism, land and the cross: In memory of Vuyani Vellem https://t.co/Oe5flEPTSd #TheologicalStudies","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"CW: racial trauma, mentions but doesn't describe sexual assault. ..I Don’t Know What This is Called - via @smedian_network #Womanism #LongReads #Racism #ItHappenedToMe https://t.co/sut61Eko9C","[0.5, 0.5]","[0.5, 0.0, 0.0, 0.5]","[0.5, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0]"
@Danie_stars Pisces women are usually introverted or extroverted. Had both and one that was right in the middle.,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
@hasanthehun Women are just men with low life points dude,"[0.0, 1.0]","[0.0, 0.8333333333333334, 0.0, 0.16666666666666666]","[0.0, 0.5, 0.0, 0.0, 0.0, 1.0]"
@dogmom1901 Fucking lie all people should work not just men. Women are just as capable of working both genders should be worshipped not just one both,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
@CTVToronto I can't believe women are still fighting for their right to work in the courts. It's 2021!,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.0, 0.16666666666666666, 0.6666666666666666]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.5]"
@lexjayde Arizona women are just straight murderers https://t.co/ChdSUv8zPo,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333]"
men can't see that women are successful because they go out of their way to try to ruin them https://t.co/u44d9lruX4,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.5]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666]"
"@000vinsmoke000 Usually women are nurturing by nature , they are the ones who carry the children for 9 months , plus ila b9aw huma lkhrin o f had situations , they are prone to harassment of all sort Aslan i think au final cest surtout pour faire de l'ordre , as he said rah koulchi aytl3","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
Gen Z women are developing tics from pandemic isolation and TikTok all over the world  https://t.co/ucLrL7kVgk,"[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.3333333333333333]"
"Future wedding day of @gunnar_emma 👰🏼‍♀️ and me 🤵🏽‍♂️ with her delighted friends/bridesmaids watching.Little do they know that after I've ravished the bride, it's their turn next 😏😤😌All white women are my wives by privilege of birth 💍 https://t.co/77IUF9d2Cj","[0.0, 1.0]","[0.0, 0.8333333333333334, 0.0, 0.16666666666666666]","[0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.5, 0.3333333333333333]"
"“Six women are killed every hour by men around the world, most by men in their own family or their partners.”Big mental aspect of Self Defense is how do you fight someone you’ve grown to love❤️ and care 🥰for deeply? https://t.co/EFYT8V0C74","[0.5, 0.5]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0]"
@AmyEBurdett1 That’s a lot of fancy words just to say “women are things”,"[0.0, 1.0]","[0.0, 0.16666666666666666, 0.5, 0.3333333333333333]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.16666666666666666]"
@btslysy7 @starstruckfae My women are fighting. What should I dooooo... https://t.co/ARdpQPFMKZ,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.0, 0.6666666666666666]"
"@SkiptomyLoulou I cannot begin to guess Lou , after the last 24 hrs. I WOULD have thought tomorrow ? However, I sincerely believe that women are more in danger from this govt than any time I can remember (I’m nearly 63). It’s is “seeping” thro daily interactions. I feel afraid and very, angry 😡","[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.5, 0.16666666666666666, 0.0, 0.0, 0.0]"
@SydDivineTarot Fake news!!! Aquarius men and women are the worst I’ve ever met,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
@Orbital7705 confirmed that orbital believes all women are creatures of the depths,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0]","[0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.5]"
@EthicalNz @stevestales @cassieroma @Alisonmau Any number above 0 is shocking.Refuse to accept that there is any area in NZ where women are not interested and could not meet the standard.My last brigade runs around 40-60%...,"[0.0, 1.0]","[0.0, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 1.0]"
@DcCrasherLGBTQ but why do you think trans women are targeted though. with transphobia enacted on transfems its bc the oppressors see a desire for femininity as wrong and predatory so its on the basis of womanhood and transness. while transmascs are targeted bc of their transness only,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666]","[0.16666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]"
@afraidleftist @KatyMontgomerie @RichardDawkins I'm not saying trans women are predators. I'm saying that some men are predators and use the system to gain access to women and it's not possible to tell the difference. Female only spaces were created to protect women &amp; girls from men for a reason.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.5, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]"
"People who think that women are high maintenance, emotional, and irrational have never planned a hunting trip with five men.","[0.5, 0.5]","[0.5, 0.16666666666666666, 0.3333333333333333, 0.0]","[0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333]"
GOP are berating POTUS Biden for “leaving women in Afghanistan” to be oppressed &amp; are outraged that Afghan women are being pushed &amp; hit in the street by the Taliban.Where was their outrage when women who were in the group protesting in D.C.  were tear gassed on Trump’s order?,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.5]","[0.3333333333333333, 0.3333333333333333, 0.5, 0.0, 0.16666666666666666, 0.3333333333333333]"
The Good Girl Trope - Why Women Can't Win https://t.co/S9CgU2RGd4 via @YouTube,"[0.5, 0.5]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
"#ReaTsotellaWednesdayHe only wanted citizenship this Hassan. SA women can't learn, R1000.00 its enough https://t.co/enfZesYuFe","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.5, 0.0, 0.5]"
"@donwinslow I guess the US is going backwards 👇 I guess the Republican Party think WOMEN can’t think for themselves a MAN has to control them 🤷‍♀️ Well, they should just come out and say it 😐 all a woman is good for is kitchen &amp; bedroom 😐 1950’s bullshit!","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.0, 0.3333333333333333, 0.5]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.8333333333333334]"
Like women can’t win either way https://t.co/TCbyuUmEAG,"[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.5]"
"@OliverAshKleine I don’t mean to say cis women can’t have insightful thoughts about masculinity/manhood, but they’ll probably have a different view than a cis man. When I see pieces about trans men and the only cis voices are women, I’m suspicious about how well trans manhood will be handled.","[0.5, 0.5]","[0.5, 0.16666666666666666, 0.3333333333333333, 0.0]","[0.5, 0.5, 0.16666666666666666, 0.0, 0.0, 0.0]"
This is why women can’t “flag down a bus” if we need help fyi! https://t.co/GYoh9Og6n2,"[0.0, 1.0]","[0.0, 0.6666666666666666, 0.0, 0.3333333333333333]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.6666666666666666]"
"@datha29 @cmkahlon @Singh6Banarasi @ndtv Again another article blown out of proportion and twisted by Indians, he was referring to and explaining pardaah which is an Islamic rule to protect women. Even librel women can't deny this Islamic law","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
This is just so sad. Women can’t be guaranteed safety from anyone! It’s usually those closest to us. God rest her soul. 🕊😔 https://t.co/VrGIEoNnVt,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.5]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.3333333333333333]"
"@UteChap ""women can't drive stick""???  Them's fighting words. 😂Currently shopping for a 2nd car &amp; one of my requirements is that it is a manual.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]","[0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666]"
@tielarr ‘Cause it’s good! I kept seeing pple talk about they giving a bad image and I disagree. I hate when pple act like black women can’t have drama at all. It’s giving entertaining women AND successful women 🤌🏾,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333]"
Lol women can’t even exist in peace and that shit sad https://t.co/1Hijv8FUwI,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.5]"
@WellLahTeeFuKin they literally went all the way to the supreme court to establiish that women can't be drafted,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
Still trying to figure out why men can be shirtless but women can’t.. we both got tiddies so……,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
